C00630244|03132017|500|1|500
C00255257|01122017|300|1|300
C00631572|03202017|200|5|1210
C00633529|02092017|1000|1|1000
C00009936|01112017|260|1|260
C00370007|02032017|600|1|600
C00630061|02172017|2700|1|2700
C00029447|02222017|140|30|7154
C00000935|02102017|300|7|2370
C00633529|02272017|1000|1|1000
C00143743|02102017|1000|1|1000
C00629675|01032017|27|1|27
C00473249|02012017|500|7|3850
C00029447|02052017|650|2|1300
C00274944|02062017|500|1|500
C00143743|02072017|2500|3|8500
C00632067|03222017|250|5|3100
C00631572|03102017|500|9|3550
C00630517|02152017|400|2|800
C00042366|02132017|250|17|26136
C00167130|02082017|1500|1|1500
C00629675|02062017|100|1|100
C00629675|03142017|34|3|568
C00274944|02222017|500|14|8300
C00019653|02152017|300|1|300
C00370007|02232017|100|1|100
C00004812|02132017|250|3|766
C00258236|02172017|87|19|1928
C00000935|02062017|50|74|11036
C00629675|02262017|300|2|600
C00042366|02232017|218|21|12083
C00616938|02242017|125|4|791
C00629675|02232017|100|5|1434
C00283135|03152017|64|4|262
C00274944|02012017|1000|1|1000
C00086256|02102017|84|1|84
C00143743|02152017|1500|2|3000
C00629675|01252017|2200|1|2200
C00143743|02142017|500|1|500
C00255257|02222017|250|2|500
C00633529|03162017|375|2|750
C00283135|03032017|85|4|620
C00477653|03102017|1000|3|2500
C00283135|03022017|118|2|235
C00630517|02052017|500|3|2000
C00215384|01312017|141|8|1129
C00473249|02062017|500|2|1000
C00355677|02142017|250|1|250
C00629675|03062017|300|2|600
C00277541|02112017|50|1|50
C00629675|03072017|325|6|2850
C00629675|01192017|27|2|54
C00633529|03212017|500|1|500
C00042366|02042017|50|5|390
C00042366|02272017|1000|23|162482
C00029447|02172017|500|14|7025
C00258236|02032017|88|18|1884
C00630517|02222017|300|3|1550
C00629675|02022017|250|1|250
C00630517|02232017|500|1|500
C00630517|01282017|250|3|750
C00000935|02172017|125|6|1100
C00306449|02022017|768|4|2900
C00630517|02102017|500|4|2250
C00000935|02122017|25|108|9836
C00633529|01312017|1600|2|3200
C00306449|02252017|365|1|365
C00004812|02092017|2500|1|2500
C00040279|02072017|105|87|12281
C00422501|03152017|100|7|1116
C00042366|02032017|50|11|1815
C00630517|03052017|1000|1|1000
C00630061|01102017|500|5|2650
C00042366|02242017|250|13|38460
C00253260|02252017|75|9|1150
C00000935|02072017|19|243|14958
C00633529|01242017|1000|1|1000
C00632067|03052017|500|1|500
C00632067|02022017|2700|1|2700
C00111302|02212017|300|1|300
C00277541|02042017|68|2|135
C00630244|03062017|515|2|1030
C00630517|03012017|375|4|2000
C00111302|03102017|1000|1|1000
C00003558|02082017|250|5|1475
C00633529|02012017|250|1|250
C00104471|02212017|1000|1|1000
C00344234|02072017|2000|1|2000
C00207258|02282017|175|8|1732
C00514026|03102017|275|1|275
C00629675|02162017|250|1|250
C00255257|01052017|400|1|400
C00477653|02032017|80|5|420
C00003558|03202017|225|2|450
C00277541|02162017|170|1|170
C00630517|01172017|1000|3|2500
C00630517|02042017|1000|1|1000
C00274944|02242017|500|3|3800
C00255257|02072017|700|4|3300
C00629675|03012017|75|2|150
C00029447|02192017|550|6|3700
C00629675|03042017|100|4|550
C00215384|03152017|76|38|3145
C00630517|01162017|500|5|6450
C00168864|02282017|104|21|2446
C00633529|02032017|1475|2|2950
C00629675|02032017|225|4|727
C00095869|02282017|95|13|1631
C00630517|01312017|500|3|1250
C00042366|02142017|110|20|8320
C00255257|01132017|425|1|425
C00104083|03292017|50|42|2377
C00003558|03032017|300|3|950
C00630244|03022017|300|2|600
C00629675|03092017|100|7|1534
C00014498|02132017|300|1|300
C00283135|03252017|85|3|200
C00283135|03012017|127|1|127
C00283135|03212017|568|4|3500
C00629675|03152017|140|23|6708
C00632067|02212017|2700|1|2700
C00630517|01062017|250|1|250
C00003558|03072017|5000|1|5000
C00143743|02272017|1000|3|3600
C00630244|02212017|225|4|1150
C00143743|02222017|225|16|5275
C00370007|02182017|200|1|200
C00633529|02072017|500|1|500
C00630061|03112017|250|12|4900
C00215384|02152017|90|21|2214
C00283135|03222017|85|11|907
C00255257|02142017|500|1|500
C00630244|03012017|250|1|250
C00003558|02272017|2650|2|5300
C00630061|02272017|1000|3|4700
C00143743|02022017|250|13|3950
C00514026|03152017|275|1|275
C00630913|03142017|375|2|750
C00283135|03162017|543|2|1085
C00004812|02152017|250|5|10548
C00000935|02032017|25|10|615
C00000935|02082017|25|93|43087
C00274944|02102017|750|1|750
C00000935|02022017|35|109|8540
C00029447|02122017|550|2|1100
C00629675|01152017|142|2|284
C00003558|03162017|250|1|250
C00631572|03152017|300|3|1050
C00161786|02032017|500|1|500
C00632067|03012017|1000|10|8900
C00633529|02152017|500|1|500
C00630913|01142017|2700|1|2700
C00111302|02232017|250|1|250
C00546903|03312017|105|9|1105
C00042366|02082017|150|21|54195
C00029447|02282017|550|5|3150
C00253260|02232017|100|3|500
C00629675|02012017|175|2|350
C00014498|02092017|375|2|750
C00630517|03032017|250|1|250
C00042366|02162017|417|14|70558
C00630244|02262017|264|3|634
C00000935|02282017|20|172|22169
C00143743|02112017|8|1|8
C00095869|02092017|1000|1|1000
C00383489|02282017|2500|4|8500
C00630913|02102017|175|2|350
C00630517|02012017|1000|9|14100
C00039206|01132017|3000|1|3000
C00629675|01092017|34|1|34
C00631572|02072017|250|1|250
C00277541|02152017|85|1|85
C00277541|02082017|100|1|100
C00161786|02272017|500|4|1625
C00014498|02242017|1375|2|2750
C00255257|02102017|500|1|500
C00630517|01302017|1000|3|2450
C00000935|02192017|17|66|1692
C00630517|02162017|500|1|500
C00039321|02102017|192|15|2236
C00630517|02272017|650|4|2550
C00632067|02192017|1000|2|2000
C00630517|01262017|500|4|2250
C00143743|02092017|500|7|4340
C00104471|02062017|750|2|1500
C00630517|03102017|250|1|250
C00042366|02202017|250|14|7722
C00274944|02162017|750|2|1500
C00630244|02162017|500|1|500
C00042366|02122017|300|6|1675
C00632067|02172017|2700|5|8850
C00631572|02282017|375|8|4250
C00514026|03292017|275|1|275
C00027359|03062017|77|13|1106
C00255257|01272017|1000|1|1000
C00255257|02232017|1000|1|1000
C00111302|03152017|450|3|1750
C00630061|02092017|250|7|1990
C00000935|02012017|19|224|13524
C00632067|02152017|750|4|3750
C00514026|03062017|350|2|700
C00029447|02082017|550|5|2950
C00033423|02172017|75|6|437
C00000935|02232017|15|95|5968
C00629675|02182017|37|2|74
C00255257|01262017|1000|1|1000
C00042366|02282017|250|214|270905
C00161810|01042017|240|1|240
C00632067|02082017|2000|1|2000
C00172510|02282017|2000|3|4250
C00042366|02112017|100|18|8145
C00355677|02222017|5000|1|5000
C00405076|02102017|192|9|1358
C00003558|03022017|275|2|550
C00261891|03142017|270|2|539
C00277541|02172017|50|1|50
C00630517|02072017|1000|5|7700
C00630244|03152017|250|9|2875
C00631572|03222017|250|14|4720
C00630517|01082017|250|1|250
C00111302|03072017|1000|1|1000
C00255257|02022017|500|2|1000
C00029447|02272017|550|9|5675
C00632067|02112017|500|2|1000
C00540443|02282017|250|1|250
C00255257|02032017|300|2|600
C00042366|02182017|38|4|190
C00161786|02282017|5|1|5
C00632067|02122017|1000|3|3850
C00042366|02192017|50|5|300
C00514026|03032017|275|1|275
C00004812|02172017|5000|1|5000
C00277541|02282017|233|4|866
C00630244|01282017|1000|1|1000
C00143743|02132017|1000|1|1000
C00630244|02252017|211|1|211
C00630517|02172017|375|2|750
C00369058|02282017|60|12|720
C00630061|01242017|625|2|1250
C00629675|03132017|300|7|2590
C00139451|02282017|75|6|525
C00095869|02142017|625|2|1250
C00095869|02152017|95|13|1631
C00370007|02142017|200|3|5400
C00003558|02152017|250|5|1550
C00172510|02062017|250|1|250
C00042366|02072017|175|12|21660
C00630517|01212017|500|3|1250
C00111302|02082017|350|2|700
C00629675|01242017|1000|1|1000
C00104083|02152017|77|15|1316
C00104083|02082017|100|1|100
C00277541|02032017|625|2|1250
C00283135|03282017|85|11|987
C00283135|03202017|23|2|45
C00370007|02262017|100|1|100
C00631572|02222017|675|2|1350
C00629675|01232017|175|2|350
C00000935|02262017|25|40|2560
C00003558|02222017|250|1|250
C00633529|02022017|1000|1|1000
C00630244|01212017|25|1|25
C00630244|01192017|1000|1|1000
C00629675|01202017|100|2|200
C00633529|02112017|500|1|500
C00514026|03312017|438|2|875
C00633529|02102017|1000|1|1000
C00039206|02152017|84|1|84
C00255257|01032017|425|1|425
C00236414|01272017|154|26|3991
C00095869|02212017|2625|2|5250
C00161414|03212017|5000|1|5000
C00274944|02212017|1000|2|2000
C00149211|02282017|100|6|1230
C00019653|02222017|92|1|92
C00003558|03092017|1000|1|1000
C00283135|03052017|85|3|215
C00004812|02062017|104|6|624
C00255257|03072017|500|1|500
C00477653|03212017|500|1|500
C00632067|02242017|1000|9|10150
C00029447|02202017|750|3|2250
C00029447|02232017|550|11|6557
C00207258|02152017|100|1|100
C00019653|02102017|100|1|100
C00631572|03212017|250|8|2340
C00370007|02212017|300|1|300
C00630244|02152017|100|1|100
C00633529|03192017|300|2|600
C00150797|02142017|208|17|4514
C00042366|02052017|100|5|625
C00019653|02092017|100|3|300
C00630517|02132017|255|2|510
C00630517|02182017|250|3|750
C00029447|02012017|750|13|7797
C00630517|02122017|400|1|400
C00029447|02042017|750|7|4850
C00306449|02042017|1000|3|2535
C00477653|02092017|240|5|1260
C00514026|03082017|275|3|830
C00629675|02272017|1850|4|6650
C00004812|02222017|2500|1|2500
C00283135|03232017|85|27|2638
C00188367|02242017|35|1|35
C00473249|02172017|500|5|4200
C00306449|02052017|130|4|675
C00224147|03312017|300|1|300
C00303883|02102017|192|10|1592
C00370007|02092017|50|2|100
C00029447|02092017|73|10|2775
C00370007|02162017|250|1|250
C00029447|02032017|45|13|3583
C00630517|01192017|500|3|3450
C00143743|02162017|5015|2|10030
C00630517|03072017|250|1|250
C00039206|02282017|84|1|84
C00042366|02152017|300|94|159224
C00629675|02142017|250|3|1500
C00631572|02272017|500|1|500
C00014498|02162017|5250|2|10500
C00629675|02192017|375|2|750
C00629675|02082017|275|4|1575
C00630517|02082017|375|2|750
C00019653|02022017|100|4|450
C00630517|03062017|255|2|510
C00215384|01132017|208|1|208
C00003558|02092017|250|3|1000
C00630061|02162017|750|2|1500
C00633529|03012017|300|7|2550
C00167130|02132017|500|1|500
C00274944|02072017|1000|1|1000
C00082040|02032017|125|3|415
C00029447|02062017|336|16|6106
C00161786|02152017|678|2|1355
C00000935|02162017|38|90|54254
C00029447|02072017|488|12|6712
C00161810|01232017|500|9|6780
C00632067|03122017|150|2|300
C00042366|02022017|100|10|6775
C00630517|01252017|500|5|2050
C00370007|02222017|1000|1|1000
C00633529|03182017|500|1|500
C00632067|03132017|500|3|1750
C00630517|02142017|700|8|5650
C00283135|03262017|85|7|552
C00629675|02222017|200|7|1695
C00255257|01252017|500|1|500
C00277541|02072017|100|1|100
C00631572|02172017|375|2|750
C00283135|03132017|93|4|400
C00629675|01292017|175|2|350
C00283135|03192017|85|1|85
C00042366|02012017|125|12|6885
C00632067|02272017|1000|6|8400
C00093963|02152017|100|24|3427
C00161810|01302017|2000|2|4000
C00253260|02272017|100|1|100
C00111302|02282017|1000|1|1000
C00631572|03032017|500|2|1000
C00093963|02092017|1000|1|1000
C00104471|02232017|1000|8|16400
C00207258|02162017|83|1|83
C00370007|02112017|100|3|325
C00255257|02082017|425|1|425
C00455733|03302017|230|1|230
C00630061|01192017|2700|1|2700
C00277541|02222017|383|2|766
C00630061|03152017|1600|1|1600
C00631572|02212017|250|1|250
C00283135|03242017|100|3|630
C00003558|02212017|275|8|2700
C00632067|03212017|500|10|6000
C00632067|01242017|2700|1|2700
C00095869|02062017|5000|8|34500
C00630244|01152017|100|1|100
C00514026|03132017|275|1|275
C00104083|02012017|77|15|1316
C00548198|01182017|5000|1|5000
C00003558|03062017|500|1|500
C00630244|01142017|45|8|330
C00355677|02252017|500|1|500
C00630517|01142017|1000|2|2000
C00632067|03032017|1600|2|3200
C00104083|03152017|50|42|2380
C00632067|02222017|2700|8|19900
C00168864|02152017|104|22|2550
C00014498|02282017|5000|1|5000
C00277541|02102017|375|2|750
C00000935|02092017|15|156|9325
C00370007|02242017|300|1|300
C00029447|02242017|750|14|8479
C00239780|03312017|100|4|390
C00632067|03092017|500|28|26850
C00143743|02052017|70|3|595
C00029447|02252017|650|2|1300
C00477653|03092017|1000|9|8250
C00104471|02022017|1000|1|1000
C00632067|03202017|500|5|2254
C00004812|02142017|458|2|916
C00000935|02132017|20|48|10702
C00042366|02092017|40|13|2639
C00274944|02272017|500|34|27200
C00306449|02082017|535|1|535
C00004812|02022017|208|1|208
C00004812|02252017|330|2|659
C00630517|03152017|500|14|9300
C00042366|02222017|300|11|39785
C00039206|03152017|167|6|918
C00405076|02242017|96|15|1700
C00630517|03142017|255|6|4510
C00632067|02052017|500|2|1000
C00004812|02212017|1750|4|8708
C00632067|01312017|375|2|750
C00082040|02132017|250|1|250
C00143743|02282017|400|8|3760
C00253260|02282017|200|3|750
C00630244|01272017|2000|1|2000
C00039321|02242017|146|16|2296
C00633529|03172017|1000|1|1000
C00033423|02032017|77|4|325
C00019653|02162017|250|1|250
C00111302|02102017|1000|1|1000
C00283135|03142017|85|1|85
C00139451|02162017|88|4|412
C00283135|03172017|85|2|170
C00631572|03132017|369|2|738
C00042366|02252017|50|11|2363
C00630517|01272017|250|3|1430
C00000935|02212017|35|97|9446
C00161786|02242017|300|3|1150
C00000935|02202017|25|18|1037
C00629675|02172017|340|5|2140
C00632067|02102017|1000|1|1000
C00089482|02092017|500|1|500
C00632067|03192017|450|8|5150
C00629675|03052017|50|1|50
C00514026|03242017|275|8|2550
C00306449|02032017|1000|1|1000
C00009936|01312017|258|2|515
C00111302|03022017|1000|1|1000
C00629675|01012017|250|3|600
C00029447|02162017|550|9|4002
C00111302|03082017|300|3|1600
C00029447|02132017|550|8|5000
C00630517|03132017|1000|1|1000
C00492132|02142017|250|1|250
C00082040|02172017|113|4|472
